category,n,min_words,p25_words,median_words,p75_words,p95_words,max_words,mean_words,mean_characters
adversarial,30,17,19,20,22,24,25,20.533333333333335,127.93333333333334
answerable_clear,115,7,11,13,16,21,24,13.930434782608696,84.65217391304348
answerable_multihop,45,10,16,18,22,25,26,18.933333333333334,119.46666666666667
out_of_scope,45,8,12,13,14,15,15,12.71111111111111,82.95555555555555
unanswerable_contradictory,19,13,14,16,19,20,20,16.210526315789473,100.84210526315789
unanswerable_missing,46,11,14,15,17,19,21,15.26086956521739,95.02173913043478
