configuration,target_coverage,target_retained_answers,attained_fixed_coverage,issued_answers,retained_answers,correct_retained,selective_accuracy_at_fixed_coverage,total_configuration_cost_usd,cost_per_correct_retained_usd,dominated
cheap__single_pass,0.200000000000,60,true,128,60,56,0.933333333333,0.231926640000,0.004141547142857142857142857143,true
cheap__self_check,0.200000000000,60,true,76,60,53,0.883333333333,0.313859620000,0.005921879622641509433962264151,true
cheap__escalation,0.200000000000,60,true,127,60,58,0.966666666667,0.200435910000,0.003455791551724137931034482759,false
standard__single_pass,0.200000000000,60,false,34,0,NA,NA,0.828870300000,NA,NA
standard__self_check,0.200000000000,60,false,8,0,NA,NA,1.101784200000,NA,NA
standard__escalation,0.200000000000,60,true,128,60,57,0.950000000000,0.611840880000,0.01073405052631578947368421053,true
capable__single_pass,0.200000000000,60,true,166,60,57,0.950000000000,2.894634000000,0.05078305263157894736842105263,true
capable__self_check,0.200000000000,60,true,162,60,59,0.983333333333,4.667912000000,0.07911715254237288135593220339,false
capable__escalation,0.200000000000,60,true,149,60,50,0.833333333333,1.720831640000,0.034416632800,true
