configuration,attained,threshold,coverage_at_90,accuracy_at_crossing,baseline_coverage,coverage_cost
cheap__single_pass,true,0.900000000000,0.310000000000,0.903225806452,0.426666666667,0.116666666667
cheap__self_check,true,0.990000000000,0.036666666667,1.000000000000,0.253333333333,0.216666666667
cheap__escalation,true,0.900000000000,0.293333333333,0.909090909091,0.423333333333,0.130000000000
standard__single_pass,true,0.000000000000,0.113333333333,0.911764705882,0.113333333333,0.000000000000
standard__self_check,false,NA,NA,NA,0.026666666667,NA
standard__escalation,true,0.900000000000,0.306666666667,0.913043478261,0.426666666667,0.120000000000
capable__single_pass,true,0.970000000000,0.383333333333,0.913043478261,0.553333333333,0.170000000000
capable__self_check,true,0.980000000000,0.410000000000,0.943089430894,0.540000000000,0.130000000000
capable__escalation,true,0.960000000000,0.160000000000,0.937500000000,0.496666666667,0.336666666667
