configuration,model_tier,strategy,n,answers,correct_answers,wrong_answers,abstains,escalates,invalids,coverage,selective_accuracy,brier_score,ece_10_equal_width,false_confidence_rate_at_0_8,abstention_precision,abstention_recall,escalation_rate,invalid_rate,cost_per_correct_answer_usd,total_cost_usd,p50_latency_ms,p95_latency_ms
cheap__single_pass,cheap,single_pass,300,128,101,27,161,5,6,0.426666666667,0.789062500000,0.158875000000,0.120625000000,0.703703703704,0.832298136646,0.957142857143,0.016666666667,0.020000000000,0.002296303366,0.231926640000,1086,1733
cheap__self_check,cheap,self_check,300,76,63,13,200,21,3,0.253333333333,0.828947368421,0.152355263158,0.135263157895,1.000000000000,0.675000000000,0.964285714286,0.070000000000,0.010000000000,0.004981898730,0.313859620000,2122,3251
cheap__escalation,cheap,escalation,300,127,99,28,155,14,4,0.423333333333,0.779527559055,0.160069291339,0.122519685039,0.571428571429,0.838709677419,0.928571428571,0.046666666667,0.013333333333,0.002024605152,0.200435910000,1810,2684
standard__single_pass,standard,single_pass,300,34,31,3,201,3,62,0.113333333333,0.911764705882,0.074752941176,0.064117647059,0.666666666667,0.661691542289,0.950000000000,0.010000000000,0.206666666667,0.026737751613,0.828870300000,875,1231
standard__self_check,standard,self_check,300,8,7,1,269,11,12,0.026666666667,0.875000000000,0.122675000000,0.112500000000,1.000000000000,0.483271375465,0.928571428571,0.036666666667,0.040000000000,0.157397742857,1.101784200000,1754,2197
standard__escalation,standard,escalation,300,128,103,25,135,24,13,0.426666666667,0.804687500000,0.147672656250,0.106171875000,0.720000000000,0.851851851852,0.821428571429,0.080000000000,0.043333333333,0.005940202718,0.611840880000,1763,2373
capable__single_pass,capable,single_pass,300,166,122,44,133,1,0,0.553333333333,0.734939759036,0.230142168675,0.229036144578,0.931818181818,0.924812030075,0.878571428571,0.003333333333,0.000000000000,0.023726508197,2.894634000000,1459,2367
capable__self_check,capable,self_check,300,162,126,36,124,14,0,0.540000000000,0.777777777778,0.198634567901,0.198024691358,0.944444444444,0.959677419355,0.850000000000,0.046666666667,0.000000000000,0.037046920635,4.667912000000,2866,4899
capable__escalation,capable,escalation,300,149,106,43,125,13,13,0.496666666667,0.711409395973,0.225089932886,0.199328859060,0.813953488372,0.952000000000,0.850000000000,0.043333333333,0.043333333333,0.016234260755,1.720831640000,2104,3812
